CommentID	Class	PostID	Score	 Comment Text
=============== ======  ======  =====    =============================================================================

15709225	C3	32336	11	 I was having a hard time getting this working even with trying various tweaks. As suggested on a related post, I found that it was actually my antivirus that was preventing emails from being successfully sent. The antivirus in question is McAffee, and its "Access Protection" has a "Antivirus Standard Protection" category that has a "Prevent mass mailing worms from sending email" rule. Tweaking / disabling that rule got this code working for me!

2668632	C3	2652481	31	 Bear in mind the JIT is free to inline methods, which might throw this off. To force a method to not be inlined, add the [MethodImpl(MethodImplOptions.NoInlining)] attribute.

24769657	C7	8911646	16	 The best part in SO is that people like Raymond Chen and @EricLippert participate.. No words!

17838428	C5	10380166	7	 I just need bytes for my crypto to work, i think you answer still rocks!

1749468	C6	1705604	120	 That last Console.WriteLine made me laugh real hard. I think you should throw a `CommonlyAcceptedCosmologicTheoriesWrongException` instead.

14732224	C2	82473	9	 Looking at getters and setters as methods, I don't see why it should be a "breach of contract" any more than adding a new method. A base-class contract has nothing to do with what functionality is *not* present, only with what *is* present.

149203	C5	233505	67	 "Best damn piece of code I have seen :) Just solved a million problems in my project :)"

4370385	C2	4057391	16	 For the sake of completness, let's add that the above piece of code must be wrapped in a method that is adorned with an async keyword. This method shall immediately return as soon as the first await keyword is encountered therein.

39600990	C2	25390969	13	 The tendency towards 84 (mod 200) is only if you chain `System.Random` in this very specific way. Not for any seed to produce 84 (mod 200) on the third value.

2646610	C7	2633016	177	 I'm pretty sure this summons a velociraptor.

13335897	C3	212707	15	 You should not use the IV like this. For a given two messages, they should not have been encrypted with the same Key and same IV. The IV should be random for each message, prepended to the cryptostream, and read out before decryption. http://crypto.stackexchange.com/a/82/1934

21172343	C4	10380166	13	 -1 for the answer. +1 for David's and artbristol's comments above. Of course there is an in-memory representation of strings in .NET. It happens to be little endian UTF-16. When you get the byte array, you are getting them in *that* encoding. If all you *

1895055	C2	151560	10	 This is imho a much better reason to put using statements locally than Mark's multiple-namespaces-in-one-file argument. Especially sine the compile can and will complain about the naming clash (see the StyleCop documentation for this rule (e.g. as posted by Jared)).

270848	C7	371348	12	 Can I ask ahy are you multiplying with such factors?

5687297	C5	32336	6	 Nice Coding Standards. Working fine.

11147112	C7	8911646	12	 You're just teasing the rest of us with your exercise, aren't you ;)

4985785	C2	2640011	6	 @Jon Skeet: I'm not sure if I agree that contracts don't need testing. More specifically, it's not the contract that is being tested, but rather the behavior that the method will throw when a contract is violated. Let's say the specification for a method

737027	C2	926806	55	 What I care about is not the behaviour; either behaviour seems justifiable. What I care about is that its not _specified_, which means it cannot easily be tested. In this case, we're defining our own operator, so we can specify whatever behaviour we like. i don't care whether that behaviour is "throw" or "don't throw", but I do care that it be stated.

4991075	C1	2640011	11	 @Jason: Do you also test that the method can't be called with the wrong argument types, too? I mean surely the method signature is part of the specification, too... so do you have a unit test which uses reflection to try to call a method taking a string,

2153580	C5	1705604	14	 Code that makes me laugh - in a good way! +1

9623990	C7	7877736	14	 @Eric: If/when you ever stop loving coding, you should consider going for teaching programmers. Beside the fun, you could be making a killing without the pressures of business. Awesome flair is what you got in that area (and wonderful patience, I might ad

