CommentID	Class	PostID	Score	 Comment Text
=============== ======  ======  =====    =============================================================================

10850063	C3	3035521	13	 This can be made even simpler be using one line to save: `int index = mList.getFirstVisiblePosition();` and only one line to restore: `mList.setSelectionFromTop(index, 0);`. Great answer though (+1)! I have been looking for an elegant solution to this problem.

33692616	C3	5651242	16	 Insted of `View v1 = mCurrentUrlMask.getRootView();` I have used `View v1 = getWindow().getDecorView().getRootView();` and it works for me.

8328900	C5	5535672	200	 where is the donate button? Thanks man!

4814182	C5	2746708	9	 Thanks! I wasted hours on this one. I think this behaviour is really counter-intuitive.

12724269	C1	1016941	8	 getWidth() or getSize()? What would I use if I need my app to run on API <13 as well as API >13?

20370152	C3	3414749	44	 Instead of managedQuery(.........) (deprecated) you can use getContentResolver().query(.....) with the same parameters. Nice work

21739571	C2	7979823	15	 The advantage of using a DialogFragment is that all the life cycle of the dialog will be handled for you. You will never get the error 'dialog has leaked...' again. Go to DialogFragment and forget Dialogs.

11919416	C3	3197456	19	 One small addition to the answer: as you do the mReceiver.setReceiver(null); in the onPause method, you should do the mReceiver.setReceiver(this); in the onResume method. Else you might not receive the events if your activity is resumed without being re-created

41623398	C7	26491690	19	 For bonus points, size the action bar using increments, e.g. `@dimen/action_bar_size_x2`, and use 112dp on phones, 128dp on tablets

38767478	C1	8483078	6	 @adamp If this is not good please add your answer with the best solution you can think of

15185566	C5	11493752	11	 Awesome job on the research! Sad that it was necessary, but awesome nonetheless.

23514475	C3	3008684	18	 A nice solution, but instead of using a registering the Broadcast receiver as described in the code above, you should use a LocalBroadcastManager.getInstance(this).registerReceiver(...) and LocalBroadcastManager.getInstance(this).unregisterReceiver(..). Otherwiser your application can receive intents from any other application (security concern)

18657672	C1	1016941	164	 I don't see why you want to use `try/catch` for such a check? Why not simply use `if (android.os.Build.VERSION.SDK_INT >= 13)` without any thrown exception at all? I think of `try/catch` in a normal app-flow as bad practice.

1987168	C3	2051953	13	 "The really nice way to do it involves a little more code, which will make sure the user is cleanly prompted to install Barcode Scanner if necessary. That's the other link he referred to. Copy the class at http://code.google.com/p/zxing/source/browse/trunk/android-integration/src/com/google/zxing/integration/android/IntentIntegrator.java and use that. Again no other code needed. If you want you can go all the way and embed the scanning code, but without a hard reason to do it, it's only harder for you."

18170080	C1	7979823	6	 Why We should be using DialogFragment instead of plain Dialogs ?????

25429673	C6	15656428	7	 You have got to be kidding me. Glad you found posted this, but good grief.

13793470	C4	2175688	18	 The profile method is badly flawed (in my opinion). An app that wants/needs my e-mail is not a big deal compared to an app that wants to read all my contacts, but you've made it so that they both require the same permissions. So as a user, I can't tell the difference between an app that is going to read my e-mail, and an app that is going to read my 500+ contacts. This is a very real, practical problem as the number of apps that abuse your contacts is growing!

13426013	C5	10407371	57	 fantastic explanation, Thank you dear Nishant.

26355588	C4	9245510	15	 Being FORCED to create a no-argument constructor for fragments is potentially the single biggest gotcha in all of programming, anywhere. It forces a complete paradigm shift in object creation and initialization. If you're new to Android and have stumbled on this thread, please read the answer above over and over and over again.

16687085	C4	3197456	6	 Don't the docs say that you don't have to call stopSelf, since IntentService does that for you?

